Jahr,Stadtteil,Wohnberechtigte Bevölkerung (ausländisch) (männlich),Wohnberechtigte Bevölkerung (ausländisch) (weiblich),Wohnberechtigte Bevölkerung (ausländisch) (gesamt),Ausländische Bevölkerung am Ort der Hauptwohnung (männlich),Ausländische Bevölkerung am Ort der Hauptwohnung (weiblich),Ausländische Bevölkerung am Ort der Hauptwohnung (gesamt)
2025,Altstadt,2541,1857,4398,2521,1845,4366
2025,Werder,143,107,250,141,106,247
2025,Alte Neustadt,2259,1515,3774,2243,1505,3748
2025,Neue Neustadt,2967,2014,4981,2953,2010,4963
2025,Neustädter See,1520,1128,2648,1513,1122,2635
2025,Kannenstieg,924,712,1636,921,712,1633
2025,Neustädter Feld,663,648,1311,660,646,1306
2025,Sülzegrund,0,0,0,0,0,0
2025,Großer Silberberg,0,0,0,0,0,0
2025,Nordwest,40,35,75,40,35,75
2025,Alt Olvenstedt,38,46,84,38,46,84
2025,Neu Olvenstedt,1184,992,2176,1181,991,2172
2025,Stadtfeld Ost,1392,1194,2586,1386,1191,2577
2025,Stadtfeld West,345,377,722,342,376,718
2025,Diesdorf,31,29,60,31,29,60
2025,Sudenburg,2111,1644,3755,2101,1639,3740
2025,Ottersleben,86,79,165,86,79,165
2025,Lemsdorf,84,71,155,83,71,154
2025,Leipziger Straße,2585,2112,4697,2565,2104,4669
2025,Reform,829,699,1528,829,699,1528
2025,Hopfengarten,56,58,114,56,58,114
2025,Beyendorfer Grund,0,0,0,0,0,0
2025,Buckau,499,430,929,495,427,922
2025,Fermersleben,406,268,674,403,266,669
2025,Salbke,466,252,718,466,251,717
2025,Westerhüsen,103,124,227,102,123,225
2025,Brückfeld,162,173,335,160,172,332
2025,Berliner Chaussee,19,18,37,18,18,36
2025,Cracau,343,321,664,341,318,659
2025,Prester,8,10,18,8,10,18
2025,Zipkeleben,.,.,6,.,.,6
2025,Kreuzhorst,0,0,0,0,0,0
2025,Herrenkrug,208,95,303,207,93,300
2025,Rothensee,172,122,294,172,122,294
2025,Industriehafen,237,0,237,237,0,237
2025,Gewerbegebiet Nord,.,.,.,.,.,.
2025,Barleber See,.,.,.,.,.,.
2025,Pechau,.,.,7,.,.,7
2025,Randau-Calenberge,.,.,4,.,.,4
2025,Beyendorf-Sohlen,7,11,18,7,11,18
2025,Magdeburg,22437,17155,39592,22315,17089,39404
2024,Altstadt,2295,1741,4036,2281,1732,4013
2024,Werder,112,83,195,111,83,194
2024,Alte Neustadt,2217,1410,3627,2205,1403,3608
2024,Neue Neustadt,2764,1973,4737,2757,1970,4727
2024,Neustädter See,1456,1087,2543,1451,1084,2535
2024,Kannenstieg,877,708,1585,874,708,1582
2024,Neustädter Feld,639,644,1283,639,644,1283
2024,Sülzegrund,0,0,0,0,0,0
2024,Großer Silberberg,0,0,0,0,0,0
2024,Nordwest,34,33,67,34,33,67
2024,Alt Olvenstedt,39,52,91,38,52,90
2024,Neu Olvenstedt,1080,883,1963,1078,882,1960
2024,Stadtfeld Ost,1318,1127,2445,1309,1123,2432
2024,Stadtfeld West,304,364,668,302,362,664
2024,Diesdorf,23,27,50,23,27,50
2024,Sudenburg,1935,1533,3468,1927,1533,3460
2024,Ottersleben,84,87,171,84,87,171
2024,Lemsdorf,68,66,134,67,66,133
2024,Leipziger Straße,2523,2020,4543,2506,2014,4520
2024,Reform,755,663,1418,754,662,1416
2024,Hopfengarten,65,69,134,65,68,133
2024,Beyendorfer Grund,0,0,0,0,0,0
2024,Buckau,444,408,852,440,404,844
2024,Fermersleben,386,246,632,383,243,626
2024,Salbke,532,247,779,532,246,778
2024,Westerhüsen,103,109,212,103,109,212
2024,Brückfeld,153,181,334,151,180,331
2024,Berliner Chaussee,16,17,33,16,17,33
2024,Cracau,292,312,604,289,310,599
2024,Prester,11,10,21,11,10,21
2024,Zipkeleben,.,.,7,.,.,7
2024,Kreuzhorst,0,0,0,0,0,0
2024,Herrenkrug,299,90,389,297,90,387
2024,Rothensee,144,134,278,144,134,278
2024,Industriehafen,263,0,263,263,0,263
2024,Gewerbegebiet Nord,.,0,.,.,0,.
2024,Barleber See,.,.,.,.,.,.
2024,Pechau,.,.,7,.,.,7
2024,Randau-Calenberge,.,.,4,.,.,4
2024,Beyendorf-Sohlen,11,12,23,11,12,23
2024,Magdeburg,21250,16349,37599,21153,16301,37454
2023,Altstadt,2122,1620,3742,2105,1610,3715
2023,Werder,103,79,182,102,79,181
2023,Alte Neustadt,1956,1289,3245,1943,1282,3225
2023,Neue Neustadt,2467,1847,4314,2458,1843,4301
2023,Neustädter See,1294,1034,2328,1288,1033,2321
2023,Kannenstieg,778,653,1431,773,653,1426
2023,Neustädter Feld,590,577,1167,589,577,1166
2023,Sülzegrund,0,0,0,0,0,0
2023,Großer Silberberg,0,0,0,0,0,0
