Jahr,Stadtteil,Wohnberechtigte Bevölkerung (männlich),Wohnberechtigte Bevölkerung (weiblich),Wohnberechtigte Bevölkerung (gesamt),Bevölkerung am Ort der Hauptwohnung (männlich),Bevölkerung am Ort der Hauptwohnung (weiblich),Bevölkerung am Ort der Hauptwohnung (gesamt)
2025,Altstadt,8725,8659,17384,8484,8518,17002
2025,Werder,1542,1553,3095,1491,1523,3014
2025,Alte Neustadt,6770,5851,12621,6609,5765,12374
2025,Neue Neustadt,8698,7720,16418,8607,7657,16264
2025,Neustädter See,5714,5858,11572,5659,5818,11477
2025,Kannenstieg,3101,3187,6288,3080,3177,6257
2025,Neustädter Feld,4715,4866,9581,4676,4837,9513
2025,Sülzegrund,.,.,7,.,.,7
2025,Großer Silberberg,0,0,0,0,0,0
2025,Nordwest,2185,2338,4523,2163,2325,4488
2025,Alt Olvenstedt,1886,1926,3812,1864,1904,3768
2025,Neu Olvenstedt,6065,6109,12174,6023,6069,12092
2025,Stadtfeld Ost,12675,12978,25653,12462,12802,25264
2025,Stadtfeld West,6880,7708,14588,6814,7650,14464
2025,Diesdorf,2083,2098,4181,2066,2077,4143
2025,Sudenburg,9684,9247,18931,9556,9162,18718
2025,Ottersleben,4993,5298,10291,4945,5259,10204
2025,Lemsdorf,1133,1144,2277,1121,1138,2259
2025,Leipziger Straße,8283,8423,16706,8147,8326,16473
2025,Reform,5552,6310,11862,5509,6257,11766
2025,Hopfengarten,2250,2200,4450,2221,2174,4395
2025,Beyendorfer Grund,.,.,9,.,.,9
2025,Buckau,3580,3446,7026,3527,3409,6936
2025,Fermersleben,1957,1766,3723,1935,1745,3680
2025,Salbke,2484,2164,4648,2463,2150,4613
2025,Westerhüsen,1718,1704,3422,1702,1692,3394
2025,Brückfeld,1738,1811,3549,1699,1788,3487
2025,Berliner Chaussee,1255,1225,2480,1245,1209,2454
2025,Cracau,4008,4243,8251,3794,4121,7915
2025,Prester,1004,997,2001,992,988,1980
2025,Zipkeleben,149,136,285,149,136,285
2025,Kreuzhorst,0,0,0,0,0,0
2025,Herrenkrug,720,618,1338,695,595,1290
2025,Rothensee,1635,1545,3180,1623,1533,3156
2025,Industriehafen,261,25,286,261,25,286
2025,Gewerbegebiet Nord,8,7,15,8,7,15
2025,Barleber See,38,37,75,38,37,75
2025,Pechau,273,265,538,269,262,531
2025,Randau-Calenberge,276,262,538,271,259,530
2025,Beyendorf-Sohlen,637,628,1265,634,622,1256
2025,Magdeburg,124684,124359,249043,122811,123023,245834
2024,Altstadt,8608,8659,17267,8355,8519,16874
2024,Werder,1502,1538,3040,1444,1510,2954
2024,Alte Neustadt,6674,5746,12420,6490,5656,12146
2024,Neue Neustadt,8620,7781,16401,8525,7718,16243
2024,Neustädter See,5716,5902,11618,5661,5865,11526
2024,Kannenstieg,3073,3210,6283,3049,3201,6250
2024,Neustädter Feld,4782,4938,9720,4743,4907,9650
2024,Sülzegrund,.,.,7,.,.,7
2024,Großer Silberberg,0,0,0,0,0,0
2024,Nordwest,2193,2341,4534,2172,2330,4502
2024,Alt Olvenstedt,1905,1948,3853,1878,1926,3804
2024,Neu Olvenstedt,6014,6114,12128,5972,6079,12051
2024,Stadtfeld Ost,12714,12995,25709,12479,12816,25295
2024,Stadtfeld West,6833,7733,14566,6770,7675,14445
2024,Diesdorf,2057,2060,4117,2039,2037,4076
2024,Sudenburg,9515,9190,18705,9384,9101,18485
2024,Ottersleben,5051,5310,10361,4997,5268,10265
2024,Lemsdorf,1115,1126,2241,1102,1112,2214
2024,Leipziger Straße,8274,8440,16714,8142,8341,16483
2024,Reform,5555,6347,11902,5503,6294,11797
2024,Hopfengarten,2276,2220,4496,2248,2189,4437
2024,Beyendorfer Grund,.,.,10,.,.,10
2024,Buckau,3560,3500,7060,3499,3457,6956
2024,Fermersleben,1924,1746,3670,1902,1725,3627
2024,Salbke,2569,2181,4750,2552,2168,4720
2024,Westerhüsen,1684,1669,3353,1671,1661,3332
2024,Brückfeld,1722,1826,3548,1683,1796,3479
2024,Berliner Chaussee,1243,1235,2478,1237,1219,2456
2024,Cracau,3960,4195,8155,3757,4082,7839
2024,Prester,1025,1010,2035,1010,1001,2011
2024,Zipkeleben,152,138,290,152,138,290
2024,Kreuzhorst,0,0,0,0,0,0
