Jahr,Stadtteil,ledig,verheiratet,verwitwet,geschieden,unbekannt,gesamt
2025,Altstadt,7774,4826,1658,1332,1412,17002
2025,Werder,1302,1093,268,261,90,3014
2025,Alte Neustadt,6154,3093,538,740,1849,12374
2025,Neue Neustadt,7731,4592,1119,1306,1516,16264
2025,Neustädter See,4567,3748,1243,1173,746,11477
2025,Kannenstieg,2558,2170,642,529,358,6257
2025,Neustädter Feld,3945,3470,807,945,346,9513
2025,Sülzegrund,0,.,.,0,0,7
2025,Großer Silberberg,0,0,0,0,0,0
2025,Nordwest,1501,2322,312,328,25,4488
2025,Alt Olvenstedt,1260,2050,230,214,14,3768
2025,Neu Olvenstedt,5500,3810,960,1164,658,12092
2025,Stadtfeld Ost,14099,7125,1480,1929,631,25264
2025,Stadtfeld West,6131,5469,1263,1413,188,14464
2025,Diesdorf,1597,2106,223,208,9,4143
2025,Sudenburg,9635,5263,1260,1504,1056,18718
2025,Ottersleben,3735,5121,695,616,37,10204
2025,Lemsdorf,999,817,176,229,38,2259
2025,Leipziger Straße,8244,4418,1114,1261,1436,16473
2025,Reform,4109,4858,1341,1036,422,11766
2025,Hopfengarten,1615,2131,270,349,30,4395
2025,Beyendorfer Grund,4,.,0,.,0,9
2025,Buckau,3902,1839,318,528,349,6936
2025,Fermersleben,1889,947,238,372,234,3680
2025,Salbke,1805,1762,332,352,362,4613
2025,Westerhüsen,1424,1443,217,232,78,3394
2025,Brückfeld,1680,1186,240,289,92,3487
2025,Berliner Chaussee,884,1251,146,167,6,2454
2025,Cracau,3647,2688,605,757,218,7915
2025,Prester,669,1088,123,97,.,1980
2025,Zipkeleben,151,112,7,15,0,285
2025,Kreuzhorst,0,0,0,0,0,0
2025,Herrenkrug,533,419,60,109,169,1290
2025,Rothensee,1467,1182,182,239,86,3156
2025,Industriehafen,62,14,0,8,202,286
2025,Gewerbegebiet Nord,.,9,.,0,0,15
2025,Barleber See,27,43,.,.,0,75
2025,Pechau,178,299,21,33,0,531
2025,Randau-Calenberge,196,253,40,41,0,530
2025,Beyendorf-Sohlen,494,596,78,81,7,1256
2025,Magdeburg,111471,83621,18214,19861,12667,245834
