Jahr,Stadtteil,0 - 6 Jahre,7 - 17 Jahre,18 - 44 Jahre,45 - 64 Jahre,ab 65 Jahre,gesamt
2025,Altstadt,185,349,3009,608,215,4366
2025,Werder,7,7,191,35,7,247
2025,Alte Neustadt,121,205,3151,223,48,3748
2025,Neue Neustadt,536,697,2956,631,143,4963
2025,Neustädter See,266,412,1484,371,102,2635
2025,Kannenstieg,201,340,822,227,43,1633
2025,Neustädter Feld,116,146,745,235,64,1306
2025,Sülzegrund,0,0,0,0,0,0
2025,Großer Silberberg,0,0,0,0,0,0
2025,Nordwest,0,6,47,14,8,75
2025,Alt Olvenstedt,8,7,40,23,6,84
2025,Neu Olvenstedt,185,275,1261,356,95,2172
2025,Stadtfeld Ost,128,271,1706,378,94,2577
2025,Stadtfeld West,43,79,409,142,45,718
2025,Diesdorf,.,12,26,16,.,60
2025,Sudenburg,292,457,2237,596,158,3740
2025,Ottersleben,4,8,90,51,12,165
2025,Lemsdorf,6,14,95,30,9,154
2025,Leipziger Straße,470,617,2885,582,115,4669
2025,Reform,178,241,838,222,49,1528
2025,Hopfengarten,7,4,65,28,10,114
2025,Beyendorfer Grund,0,0,0,0,0,0
2025,Buckau,51,72,580,161,58,922
2025,Fermersleben,73,75,397,101,23,669
2025,Salbke,50,91,437,114,25,717
2025,Westerhüsen,15,28,124,42,16,225
2025,Brückfeld,21,39,188,70,14,332
2025,Berliner Chaussee,.,.,10,13,5,36
2025,Cracau,28,83,424,97,27,659
2025,Prester,.,.,9,4,.,18
2025,Zipkeleben,0,0,.,.,0,6
2025,Kreuzhorst,0,0,0,0,0,0
2025,Herrenkrug,5,11,256,24,4,300
2025,Rothensee,27,23,183,55,6,294
2025,Industriehafen,0,0,222,15,0,237
2025,Gewerbegebiet Nord,0,.,.,0,.,.
2025,Barleber See,0,0,2,0,0,.
2025,Pechau,.,.,.,.,0,7
2025,Randau-Calenberge,0,0,.,.,0,4
2025,Beyendorf-Sohlen,.,.,8,4,.,18
2025,Magdeburg,3033,4581,24908,5473,1409,39404
2024,Altstadt,196,336,2690,588,203,4013
2024,Werder,8,6,145,26,9,194
2024,Alte Neustadt,123,195,3037,214,39,3608
2024,Neue Neustadt,542,696,2766,590,133,4727
2024,Neustädter See,265,433,1396,352,89,2535
2024,Kannenstieg,224,341,774,205,38,1582
2024,Neustädter Feld,127,150,725,222,59,1283
2024,Sülzegrund,0,0,0,0,0,0
2024,Großer Silberberg,0,0,0,0,0,0
2024,Nordwest,0,0,0,0,0,0
2024,Alt Olvenstedt,9,.,49,23,.,90
2024,Neu Olvenstedt,168,245,1134,330,83,1960
2024,Stadtfeld Ost,141,270,1557,371,93,2432
2024,Stadtfeld West,42,84,353,142,43,664
2024,Diesdorf,6,.,24,13,.,50
2024,Sudenburg,296,438,2003,580,143,3460
2024,Ottersleben,.,.,94,52,13,171
2024,Lemsdorf,5,13,78,28,9,133
2024,Leipziger Straße,497,611,2764,544,104,4520
2024,Reform,171,244,752,207,42,1416
2024,Hopfengarten,9,10,78,26,10,133
2024,Beyendorfer Grund,0,0,0,0,0,0
2024,Buckau,48,66,511,166,53,844
2024,Fermersleben,0,0,0,0,0,0
2024,Salbke,47,55,526,122,28,778
2024,Westerhüsen,20,21,120,36,15,212
2024,Brückfeld,24,41,193,66,7,331
2024,Berliner Chaussee,.,.,11,12,5,33
2024,Cracau,41,73,368,89,28,599
2024,Prester,0,.,11,5,.,21
2024,Zipkeleben,0,0,.,.,0,7
2024,Kreuzhorst,0,0,0,0,0,0
2024,Herrenkrug,8,18,327,29,5,387
2024,Rothensee,31,30,153,58,6,278
2024,Industriehafen,0,0,246,17,0,263
2024,Gewerbegebiet Nord,0,0,.,0,0,.
2024,Barleber See,0,0,.,0,0,.
2024,Pechau,.,.,.,.,0,7
2024,Randau-Calenberge,0,0,.,.,0,4
2024,Beyendorf-Sohlen,.,.,16,.,.,23
2024,Magdeburg,3135,4497,23295,5235,1292,37454
2023,Altstadt,199,339,2429,565,183,3715
2023,Werder,14,6,130,23,8,181
2023,Alte Neustadt,145,189,2664,194,33,3225
