Jahr,Stadtteil,Gesamt,Frauen,ausländische Bevölkerung,Anteil ausländischer Bevölkerung,Billeter-Maß J,Jugendquote,Altenquote,Altersdurchschnitt
2025,Altstadt,17002,8518,4366,25.679331843312553,-0.64343598055105344,15.49375176172132,44.25443953772433,46.194565345253501
2025,Werder,3014,1523,247,8.1950895819508958,-0.96918085969180856,20.153211549793753,57.454331172657632,49.313868613138688
2025,Alte Neustadt,12374,5765,3748,30.289316308388557,-0.29895846727529896,14.955752212389381,21.924778761061948,38.966946823985779
2025,Neue Neustadt,16264,7657,4963,30.515248401377278,-0.4717218793298904,26.808968961127977,32.439048271810442,42.157894736842103
2025,Neustädter See,11477,5818,2635,22.958961401062997,-0.97663869358131095,28.550148957298909,61.403508771929829,48.542258429903285
2025,Kannenstieg,6257,3177,1633,26.098769378296311,-0.85665382969619175,36.468699839486355,64.398073836276083,47.09821000479463
2025,Neustädter Feld,9513,4837,1306,13.728581940502471,-0.99653240864230463,23.909316060201942,57.325204800914463,48.783401660885104
2025,Sülzegrund,7,.,0,0,,.,.,.
2025,Großer Silberberg,0,0,0,0,0,0,0,0
2025,Nordwest,4488,2325,75,1.6711229946524064,-1.7206225680933853,26.96724797958316,63.930242450021268,51.796345811051694
2025,Alt Olvenstedt,3768,1904,84,2.2292993630573248,-1.3660565723793676,26.37159981558322,47.349008759797137,49.223195329087048
2025,Neu Olvenstedt,12092,6069,2172,17.962289116771419,-0.65943559224419279,29.985507246376812,45.260869565217391,44.908865365530929
2025,Stadtfeld Ost,25264,12802,2577,10.200284990500316,-0.41221260077635113,22.326021403653996,27.05019807248862,41.885647561747945
2025,Stadtfeld West,14464,7650,718,4.9640486725663715,-1.0831340812948318,23.362896367391571,52.363017859312357,49.223935287610622
2025,Diesdorf,4143,2077,60,1.448225923244026,-0.84631147540983609,36.905272181740251,40.677239605657952,45.451967173545739
2025,Sudenburg,18718,9162,3740,19.98076717598034,-0.46676467499737478,23.492141857977455,30.527441783921667,42.417833101827121
2025,Ottersleben,10204,5259,165,1.6170129361034888,-1.179546775130738,28.422134658214837,46.393695391468221,48.37916503332027
2025,Lemsdorf,2259,1138,154,6.8171757414785299,-0.86559139784946237,23.021582733812952,39.49640287769784,47.030765825586542
2025,Leipziger Straße,16473,8326,4669,28.343349723790446,-0.39508216101193994,26.656349743688946,32.672405455073026,41.413616220481998
2025,Reform,11766,6257,1528,12.986571477137515,-1.3996832101372756,28.119148936170212,72.153191489361703,51.714006459289479
2025,Hopfengarten,4395,2174,114,2.5938566552901023,-1.3349381017881705,24.414976599063962,46.996879875195006,49.717519908987484
2025,Beyendorfer Grund,9,.,0, .       ,.,.,.,.
2025,Buckau,6936,3409,922,13.292964244521338,-0.35966950684224114,20.635897435897434,21.641025641025642,40.862600922722031
2025,Fermersleben,3680,1745,669,18.179347826086957,-0.57629960871995534,21.567814184985483,31.065947739527168,43.325271739130436
2025,Salbke,4613,2150,717,15.543030565792327,-0.83537559936068195,25.199709513435003,42.302106027596224,46.302081075222198
2025,Westerhüsen,3394,1692,225,6.629345904537419,-0.82420971472629145,31.434384537131233,41.200406917599189,45.662050677666471
2025,Brückfeld,3487,1788,332,9.5210782907943798,-0.63303303303303304,22.490875912408757,36.587591240875909,44.758388299397765
2025,Berliner Chaussee,2454,1209,36,1.4669926650366749,-1.0373831775700935,29.061000685400963,39.136394790952707,47.007742461287691
2025,Cracau,7915,4121,659,8.325963360707517,-0.86723832052040217,20.562099607356892,43.004753048150448,47.18603916614024
2025,Prester,1980,988,18,0.90909090909090906,-1.4490445859872612,24.851063829787236,43.659574468085104,49.465151515151518
2025,Zipkeleben,285,136,6,2.1052631578947367,0.27611940298507465,65,13.125,33.5140350877193
2025,Kreuzhorst,0,0,0,0,0,0,0,0
2025,Herrenkrug,1290,595,300,23.255813953488371,-0.55089820359281438,17.861339600470036,33.725029377203292,43.248062015503876
2025,Rothensee,3156,1533,294,9.3155893536121681,-0.53867991483321509,28.954147346728494,33.642452344152503,43.128010139416986
2025,Industriehafen,286,25,237,82.867132867132867,0,3.6900369003690034,1.8450184501845017,31.63986013986014
2025,Gewerbegebiet Nord,15,7,4, .       ,.,.,.,.
2025,Barleber See,75,37,., .       ,-1.2272727272727273,35.897435897435898,56.410256410256409,48.046666666666667
2025,Pechau,531,262,7,1.3182674199623352,-1.4716981132075471,30.82191780821918,51.027397260273979,49.430320150659135
2025,Randau-Calenberge,530,259,4,0.75471698113207553,-1.2721893491124261,27.722772277227726,47.194719471947195,48.667924528301889
2025,Beyendorf-Sohlen,1256,622,18,1.4331210191082804,-1.0597701149425287,30.37974683544304,46.272855133614627,47.585987261146499
2025,Magdeburg,245834,123023,39404,16.028702295044621,-0.68539386961370041,24.229130947278183,40.415371838834119,45.242521376213219
2024,Altstadt,16874,8519,4013,23.782150053336494,-0.66169860421102433,15.983645526290768,44.461348293239517,46.25856347042788
2024,Werder,2954,1510,194,6.567366283006093,-1.0495303159692571,20.036429872495447,59.319975713418337,49.838185511171297
2024,Alte Neustadt,12146,5656,3608,29.705252758109669,-0.31713147410358566,14.806455253357409,22.266109919873603,39.224847686481148
2024,Neue Neustadt,16243,7718,4727,29.101766914978761,-0.47672038884625223,27.39766368901541,32.050652792775104,42.108323585544539
2024,Neustädter See,11526,5865,2535,21.993753253513795,-0.99632690541781455,29.046123326169614,61.497768226153084,48.459309387471805
2024,Kannenstieg,6250,3201,1582,25.312000000000001,-0.91113066432028156,37.210817855979144,66.438579341805152,47.378239999999998
2024,Neustädter Feld,9650,4907,1283,13.295336787564768,-0.98464389727296797,25.037678975131879,56.76337603617182,48.448290155440418
2024,Sülzegrund,7,.,0,0,,.,.,.
2024,Großer Silberberg,0,0,0,0,0,0,0,0
2024,Nordwest,4502,2330,67,1.4882274544646823,-1.6796267496111976,28.092243186582809,60.670859538784072,51.312749888938249
2024,Alt Olvenstedt,3804,1926,90,2.3659305993690851,-1.3462489694971147,26.273458445040216,43.699731903485258,48.816771819137749
2024,Neu Olvenstedt,12051,6079,1960,16.264210438967723,-0.67812254516889237,30.662782228696283,44.879825200291336,44.836652559953528
2024,Stadtfeld Ost,25295,12816,2432,9.6145483297094287,-0.40502142373900624,22.950139325309777,27.017252623465936,41.712334453449301
2024,Stadtfeld West,14445,7675,664,4.5967462789892695,-1.1401213500189609,23.403217942467087,52.669429546562654,49.457078573901001
2024,Diesdorf,4076,2037,50,1.2266928361138372,-0.8,36.986301369863014,37.5,44.68915603532875
2024,Sudenburg,18485,9101,3460,18.717879361644577,-0.47779578606158835,24.033542976939202,30.976939203354299,42.504327833378412
2024,Ottersleben,10265,5268,171,1.665854846566001,-1.1624350836699364,28.273308650286101,44.479973073039382,48.083536288358502
2024,Lemsdorf,2214,1112,133,6.0072267389340555,-0.86961325966850833,22.747093023255811,38.154069767441861,46.855013550135503
2024,Leipziger Straße,16483,8341,4520,27.422192562033608,-0.40826347305389221,27.010209042294601,33.252309188138064,41.478159315658559
2024,Reform,11797,6294,1416,12.003051623294057,-1.462972972972973,27.900646478394009,72.796869683565831,51.944689327795203
2024,Hopfengarten,4437,2189,133,2.9975208474194273,-1.3404109589041096,25.474990306320279,46.568437378829003,49.470024791525809
2024,Beyendorfer Grund,10,.,0,.,.,.,.,.
2024,Buckau,6956,3457,844,12.133410005750431,-0.33453422542460115,21.526780217525136,21.218961625282169,40.330506037952844
2024,Fermersleben,3627,1725,626,17.259443065894679,-0.56899488926746167,22.431865828092242,29.643605870020966,42.88296112489661
2024,Salbke,4720,2168,778,16.48305084745763,-0.80264496439471011,23.592400690846286,39.447322970639028,45.765042372881354
2024,Westerhüsen,3332,1661,212,6.3625450180072027,-0.86570743405275774,30.76923076923077,41.249354672173467,45.936074429771907
