Jahr,Stadtteil,0 - 6 Jahre,7 - 17 Jahre,18 - 44 Jahre,45 - 64 Jahre,ab 65 Jahre,gesamt
2025,Altstadt,685,964,7673,2970,4710,17002
2025,Werder,129,213,1024,673,975,3014
2025,Alte Neustadt,512,840,7003,2037,1982,12374
2025,Neue Neustadt,1022,1716,6607,3606,3313,16264
2025,Neustädter See,571,1154,3486,2556,3710,11477
2025,Kannenstieg,396,740,1816,1299,2006,6257
2025,Neustädter Feld,391,864,2833,2416,3009,9513
2025,Sülzegrund,0,0,0,.,.,7
2025,Großer Silberberg,0,0,0,0,0,0
2025,Nordwest,162,472,866,1485,1503,4488
2025,Alt Olvenstedt,158,414,828,1341,1027,3768
2025,Neu Olvenstedt,681,1388,4119,2781,3123,12092
2025,Stadtfeld Ost,1362,2414,11291,5622,4575,25264
2025,Stadtfeld West,627,1296,4276,3955,4310,14464
2025,Diesdorf,283,578,1048,1285,949,4143
2025,Sudenburg,1078,1777,7938,4215,3710,18718
2025,Ottersleben,491,1168,2413,3424,2708,10204
2025,Lemsdorf,116,204,723,667,549,2259
2025,Leipziger Straße,1153,1603,7255,3084,3378,16473
2025,Reform,548,1104,2883,2992,4239,11766
2025,Hopfengarten,174,452,1027,1537,1205,4395
2025,Beyendorfer Grund,0,.,0,.,0,9
2025,Buckau,415,591,3243,1632,1055,6936
2025,Fermersleben,192,328,1471,940,749,3680
2025,Salbke,259,435,1490,1264,1165,4613
2025,Westerhüsen,198,420,982,984,810,3394
2025,Brückfeld,159,334,1329,863,802,3487
2025,Berliner Chaussee,143,281,617,842,571,2454
2025,Cracau,320,675,2723,2116,2081,7915
2025,Prester,76,216,419,756,513,1980
2025,Zipkeleben,40,64,99,61,21,285
2025,Kreuzhorst,0,0,0,0,0,0
2025,Herrenkrug,53,99,562,289,287,1290
2025,Rothensee,227,335,1139,802,653,3156
2025,Industriehafen,.,7,240,31,.,286
2025,Gewerbegebiet Nord,.,.,5,.,6,15
2025,Barleber See,4,10,13,26,22,75
2025,Pechau,28,62,102,190,149,531
2025,Randau-Calenberge,26,58,125,178,143,530
2025,Beyendorf-Sohlen,82,134,314,397,329,1256
2025,Magdeburg,12765,23412,89982,59330,60345,245834
2024,Altstadt,690,991,7493,3024,4676,16874
2024,Werder,130,200,972,675,977,2954
2024,Alte Neustadt,526,786,6850,2011,1973,12146
2024,Neue Neustadt,1066,1725,6525,3662,3265,16243
2024,Neustädter See,572,1185,3454,2595,3720,11526
2024,Kannenstieg,420,722,1765,1304,2039,6250
2024,Neustädter Feld,422,907,2891,2417,3013,9650
2024,Sülzegrund,0,0,0,.,.,7
2024,Großer Silberberg,0,0,0,0,0,0
2024,Nordwest,190,480,865,1520,1447,4502
2024,Alt Olvenstedt,180,408,842,1396,978,3804
2024,Neu Olvenstedt,702,1403,4068,2797,3081,12051
2024,Stadtfeld Ost,1479,2392,11237,5630,4557,25295
2024,Stadtfeld West,641,1279,4192,4012,4321,14445
2024,Diesdorf,301,563,1054,1282,876,4076
2024,Sudenburg,1109,1757,7726,4199,3694,18485
2024,Ottersleben,533,1147,2480,3462,2643,10265
2024,Lemsdorf,111,202,702,674,525,2214
2024,Leipziger Straße,1206,1572,7201,3084,3420,16483
2024,Reform,554,1086,2819,3059,4279,11797
2024,Hopfengarten,192,465,1016,1563,1201,4437
2024,Beyendorfer Grund,0,.,.,7,0,10
2024,Buckau,450,599,3299,1574,1034,6956
2024,Fermersleben,205,330,1440,945,707,3627
2024,Salbke,278,405,1601,1294,1142,4720
