Jahr,Stadtteil,Fläche,Wohnberechtigte Bevölkerung (Anzahl),Wohnberechtigte Bevölkerung (EW-Dichte),Bevölkerung am Ort der Hauptwohnung (Anzahl),Bevölkerung am Ort der Hauptwohnung (EW-Dichte)
2025,Altstadt,376.9,17384,46.1236402228708,17002,45.1101087821703
2025,Werder,358.96,3095,8.6221305995097,3014,8.39647871629151
2025,Alte Neustadt,256.57,12621,49.1912538488522,12374,48.2285536111003
2025,Neue Neustadt,453.82,16418,36.1773390330968,16264,35.8379974439205
2025,Neustädter See,479.09,11572,24.15412552965,11477,23.9558329332693
2025,Kannenstieg,114.24,6288,55.0420168067227,6257,54.7706582633053
2025,Neustädter Feld,202.87,9581,47.2272884112979,9513,46.8920983881303
2025,Sülzegrund,337.49,7,0.0207413552994163,7,0.0207413552994163
2025,Großer Silberberg,386.67,0,0,0,0
2025,Nordwest,272.9,4523,16.5738365701722,4488,16.4455844631733
2025,Alt Olvenstedt,320.08,3812,11.9095226193452,3768,11.7720569857536
2025,Neu Olvenstedt,336.69,12174,36.1578900472244,12092,35.9143425703169
2025,Stadtfeld Ost,327.55,25653,78.3178140741871,25264,77.1302091283773
2025,Stadtfeld West,467.08,14588,31.2323370728783,14464,30.9668579258371
2025,Diesdorf,1012.81,4181,4.12811879819512,4143,4.09059942141172
2025,Sudenburg,529.1,18931,35.7796257796258,18718,35.3770553770554
2025,Ottersleben,1652.92,10291,6.22595164920262,10204,6.17331752292912
2025,Lemsdorf,132.57,2277,17.1758316361168,2259,17.0400543109301
2025,Leipziger Straße,337.8,16706,49.4552989934873,16473,48.765541740675
2025,Reform,319.13,11862,37.1698054084542,11766,36.8689875599286
2025,Hopfengarten,278.94,4450,15.9532515953252,4395,15.7560765756077
2025,Beyendorfer Grund,604.4,9,0.014890800794176,9,0.014890800794176
2025,Buckau,218.03,7026,32.2249231757098,6936,31.8121359445948
2025,Fermersleben,337.99,3723,11.0151187904968,3680,10.8878960916003
2025,Salbke,774.27,4648,6.00307386312268,4613,5.95786999367146
2025,Westerhüsen,723.26,3422,4.73135525260625,3394,4.69264165030556
2025,Brückfeld,146.49,3549,24.226909686668,3487,23.8036726056386
2025,Berliner Chaussee,501.98,2480,4.9404358739392,2454,4.88864098171242
2025,Cracau,262.63,8251,31.4168221452233,7915,30.1374557362068
2025,Prester,515.86,2001,3.87895940759121,1980,3.83825068817121
2025,Zipkeleben,464.74,285,0.613246116107931,285,0.613246116107931
2025,Kreuzhorst,472.41,0,0,0,0
2025,Herrenkrug,1205.03,1338,1.11034580051949,1290,1.070512767317
2025,Rothensee,212.23,3180,14.9837440512651,3156,14.8706591905009
2025,Industriehafen,363.46,286,0.786881637594233,286,0.786881637594233
2025,Gewerbegebiet Nord,938.77,15,0.0159783546555599,15,0.0159783546555599
2025,Barleber See,541.47,75,0.138511828910189,75,0.138511828910189
2025,Pechau,761.1,538,0.706871633162528,531,0.697674418604651
2025,Randau-Calenberge,1371.76,538,0.39219688575261,530,0.386364961800898
2025,Beyendorf-Sohlen,814.35,1265,1.55338613618223,1256,1.54233437711058
2025,Magdeburg,20184.41,249043,12.3383839309645,245834,12.1793998437408
2024,Altstadt,376.9,17267,45.8132130538604,16874,44.7704961528257
2024,Werder,358.96,3040,8.46891018497883,2954,8.22932917316693
2024,Alte Neustadt,256.57,12420,48.4078419144873,12146,47.3399072377909
2024,Neue Neustadt,453.82,16401,36.1398792472787,16243,35.791723590851
2024,Neustädter See,479.09,11618,24.250140892108,11526,24.058110167192
2024,Kannenstieg,114.24,6283,54.9982492997199,6250,54.7093837535014
2024,Neustädter Feld,202.87,9720,47.9124562527727,9650,47.567407699512
2024,Sülzegrund,337.49,7,0.0207413552994163,7,0.0207413552994163
2024,Großer Silberberg,386.67,0,0,0,0
2024,Nordwest,272.9,4534,16.614144375229,4502,16.4968853059729
2024,Alt Olvenstedt,320.08,3853,12.037615596101,3804,11.8845288677831
2024,Neu Olvenstedt,336.69,12128,36.0212658528617,12051,35.7925688318631
2024,Stadtfeld Ost,327.55,25709,78.4887803388796,25295,77.2248511677606
2024,Stadtfeld West,467.08,14566,31.1852359338871,14445,30.9261796694356
2024,Diesdorf,1012.81,4117,4.0649282688757,4076,4.02444683603045
