Jahr,Stadtteil,Haushalte,durchschnittliche Haushaltsgröße,Haushaltsgröße (1 Person),Haushaltsgröße (2 Personen),Haushaltsgröße (3 Personen),Haushaltsgröße (4 und mehr)
2025,Altstadt,11342,1.48756833010051,7578,2680,616,468
2025,Werder,1854,1.6143473570658,1074,546,139,95
2025,Alte Neustadt,8108,1.55661075481006,4928,2354,485,341
2025,Neue Neustadt,9645,1.67205806117159,5880,2347,732,686
2025,Neustädter See,6717,1.6945064761054,3953,1730,517,517
2025,Kannenstieg,3426,1.79597197898424,1832,998,292,304
2025,Neustädter Feld,5567,1.68061792707024,3084,1655,501,327
2025,Sülzegrund,4,1.75,.,.,0,0
2025,Großer Silberberg,0,0,0,0,0,0
2025,Nordwest,2262,1.99955791335102,796,947,300,219
2025,Alt Olvenstedt,1773,2.15002820078962,530,729,297,217
2025,Neu Olvenstedt,6845,1.72520087655223,3886,1775,603,581
2025,Stadtfeld Ost,15656,1.61356668369954,9502,3926,1273,955
2025,Stadtfeld West,8506,1.69256995062309,4571,2658,749,528
2025,Diesdorf,1848,2.26244588744589,538,687,303,320
2025,Sudenburg,11243,1.65178333185093,6740,2836,918,749
2025,Ottersleben,4905,2.08236493374108,1627,1937,778,563
2025,Lemsdorf,1335,1.70561797752809,743,356,142,94
2025,Leipziger Straße,10010,1.65364635364635,6104,2414,777,715
2025,Reform,6735,1.74224201930215,3433,2245,619,438
2025,Hopfengarten,2307,1.91027308192458,965,830,298,214
2025,Beyendorfer Grund,6,1.5,.,.,0,0
2025,Buckau,4274,1.61207299953205,2605,1060,354,255
2025,Fermersleben,2348,1.55749574105622,1528,538,166,116
2025,Salbke,2513,1.82292081177875,1213,834,258,208
2025,Westerhüsen,1704,2.00410798122066,709,554,240,201
2025,Brückfeld,2137,1.65605989705194,1240,579,182,136
2025,Berliner Chaussee,1134,2.18694885361552,341,424,212,157
2025,Cracau,4801,1.62132888981462,2781,1357,419,244
2025,Prester,918,2.1797385620915,255,387,152,124
2025,Zipkeleben,106,2.68867924528302,23,28,21,34
2025,Kreuzhorst,0,0,0,0,0,0
2025,Herrenkrug,764,1.58507853403141,471,195,54,44
2025,Rothensee,1684,1.88836104513064,783,521,216,164
2025,Industriehafen,23,2.1304347826087,13,.,.,4
2025,Gewerbegebiet Nord,8,1.875,.,.,.,0
2025,Barleber See,33,2.27272727272727,8,14,6,5
2025,Pechau,248,2.16935483870968,73,104,36,35
2025,Randau-Calenberge,253,2.12648221343874,81,101,37,34
2025,Beyendorf-Sohlen,605,2.09090909090909,210,234,76,85
2025,Magdeburg,143647,1.70392002617528,80105,40591,12774,10177
2024,Altstadt,11201,1.49477725203107,7439,2674,618,470
2024,Werder,1834,1.60250817884406,1060,552,135,87
2024,Alte Neustadt,7988,1.55483224837256,4855,2327,483,323
2024,Neue Neustadt,9368,1.69726729291204,5575,2354,733,706
2024,Neustädter See,6696,1.70713859020311,3879,1791,494,532
2024,Kannenstieg,3412,1.80451348182884,1797,1014,295,306
2024,Neustädter Feld,5593,1.7015912748078,3031,1707,501,354
2024,Sülzegrund,4,1.75,.,.,0,0
2024,Großer Silberberg,0,0,0,0,0,0
2024,Nordwest,2260,2.00619469026549,791,942,302,225
2024,Alt Olvenstedt,1787,2.15612758813654,519,749,301,218
2024,Neu Olvenstedt,6765,1.74042867701404,3762,1807,618,578
2024,Stadtfeld Ost,15449,1.62955531102337,9285,3886,1293,985
2024,Stadtfeld West,8453,1.70010647107536,4487,2696,740,530
2024,Diesdorf,1807,2.27836192584394,515,674,294,324
2024,Sudenburg,11101,1.65219349608143,6652,2817,892,740
2024,Ottersleben,4932,2.08840227088402,1620,1959,781,572
2024,Lemsdorf,1318,1.70030349013657,740,340,153,85
2024,Leipziger Straße,9952,1.66318327974277,5981,2505,731,735
2024,Reform,6717,1.75152597885961,3380,2292,601,444
2024,Hopfengarten,2309,1.92810740580338,953,827,306,223
2024,Beyendorfer Grund,7,1.42857142857143,.,.,0,0
2024,Buckau,4237,1.63181496341751,2532,1077,371,257
2024,Fermersleben,2337,1.57038938810441,1503,551,162,121
2024,Salbke,2437,1.82478457119409,1154,820,266,197
2024,Westerhüsen,1676,1.99701670644391,701,549,222,204
2024,Brückfeld,2118,1.6699716713881,1211,578,197,132
